epoch,acc,iou,loss,lr,precision_4,recall_4,val_acc,val_iou,val_loss,val_precision_4,val_recall_4
0,0.8066502809524536,0.038447678089141846,0.7697786688804626,1e-05,0.049479760229587555,0.6952732801437378,0.03371070697903633,0.047989170998334885,0.5872645974159241,0.05840449035167694,0.25531062483787537
1,0.8357163667678833,0.03970477357506752,0.7436885237693787,1e-05,0.05243496596813202,0.69642174243927,0.07860545814037323,0.046517517417669296,0.6285725831985474,0.05452452227473259,0.43634191155433655
2,0.8589189052581787,0.03976801410317421,0.7165297865867615,1e-05,0.05496787279844284,0.6861675977706909,0.13725242018699646,0.054899025708436966,0.6619279384613037,0.06559455394744873,0.4572426378726959
3,0.870559573173523,0.040635231882333755,0.6892210841178894,1e-05,0.059460777789354324,0.6587902307510376,0.23910287022590637,0.04782709851861,0.6794443130493164,0.05619356036186218,0.45360374450683594
4,0.8564080595970154,0.04174685478210449,0.6608752608299255,1e-05,0.0654357299208641,0.605073869228363,0.38133201003074646,0.0489010326564312,0.6817479133605957,0.05940793454647064,0.3963606357574463
5,0.8406572937965393,0.04230845347046852,0.6337058544158936,1e-05,0.07437422126531601,0.543879508972168,0.5096482634544373,0.045517388731241226,0.6727186441421509,0.05642380937933922,0.3137768507003784
6,0.8129681944847107,0.04262707009911537,0.6082693338394165,1e-05,0.08599888533353806,0.5044145584106445,0.6022542119026184,0.046445444226264954,0.6605172157287598,0.05719255283474922,0.2598532438278198
7,0.779074490070343,0.044983141124248505,0.5842896699905396,1e-05,0.10975266993045807,0.489423930644989,0.6646540760993958,0.04638269543647766,0.6495073437690735,0.06989429891109467,0.3030160963535309
8,0.7604079842567444,0.04692123457789421,0.5667394399642944,1e-05,0.13678453862667084,0.5023499727249146,0.6470274329185486,0.043023481965065,0.628670334815979,0.0716419443488121,0.26794126629829407
9,0.7236037254333496,0.04827282205224037,0.5485244393348694,1e-05,0.164317786693573,0.5076157450675964,0.6859464645385742,0.04805545136332512,0.6091456413269043,0.08647921681404114,0.27398231625556946
10,0.7260256409645081,0.05532239377498627,0.5341224670410156,1e-05,0.21897581219673157,0.5418985486030579,0.6826035976409912,0.04900675639510155,0.5932359099388123,0.09991354495286942,0.273716539144516
11,0.714290201663971,0.052983760833740234,0.5228402018547058,1e-05,0.24073314666748047,0.5204577445983887,0.6759873032569885,0.05329262092709541,0.5831311345100403,0.10582181066274643,0.21945878863334656
12,0.7197657823562622,0.05500433221459389,0.510831892490387,1e-05,0.2882388234138489,0.4956226646900177,0.7424498796463013,0.048243794590234756,0.5663566589355469,0.12486246973276138,0.24591860175132751
13,0.7376860976219177,0.058439917862415314,0.5026618838310242,1e-05,0.3408604562282562,0.5399320125579834,0.6816755533218384,0.045341890305280685,0.5320441126823425,0.11185333132743835,0.12365060299634933
14,0.7336305975914001,0.05779391527175903,0.49594396352767944,1e-05,0.37313395738601685,0.5215975642204285,0.6817381978034973,0.048545610159635544,0.5149397253990173,0.1297508031129837,0.09593749046325684
15,0.7352932095527649,0.05868004262447357,0.48684728145599365,1e-05,0.4331287145614624,0.5422589182853699,0.6442751288414001,0.05711270496249199,0.48817145824432373,0.22420617938041687,0.0981503278017044
16,0.7493444681167603,0.06017092987895012,0.48149266839027405,1e-05,0.43030887842178345,0.525988757610321,0.7213473916053772,0.05105218291282654,0.4715915024280548,0.2895750105381012,0.13456228375434875
17,0.746494710445404,0.061540719121694565,0.47215527296066284,1e-05,0.5190983414649963,0.513469398021698,0.7530121207237244,0.07166559994220734,0.4687115550041199,0.5013959407806396,0.24523966014385223
18,0.7486899495124817,0.06243713200092316,0.46279194951057434,1e-05,0.5827713012695312,0.5527247190475464,0.7823799252510071,0.05912179872393608,0.45306161046028137,0.5188015699386597,0.2742728888988495
19,0.7543023228645325,0.06382141262292862,0.45991507172584534,1e-05,0.5860532522201538,0.5469488501548767,0.7964999079704285,0.05900345370173454,0.4518131911754608,0.5173050165176392,0.22070442140102386
20,0.7647005915641785,0.06415805220603943,0.455665647983551,1e-05,0.6065383553504944,0.5596283078193665,0.8211607336997986,0.0635247454047203,0.4431662857532501,0.533284604549408,0.16480869054794312
21,0.7653194665908813,0.06544293463230133,0.4464645981788635,1e-05,0.6744692325592041,0.5714959502220154,0.8309800624847412,0.06071607396006584,0.42354142665863037,0.657311737537384,0.2024809569120407
22,0.7827030420303345,0.06626852601766586,0.4431608319282532,1e-05,0.6861135363578796,0.5807625651359558,0.7500250339508057,0.05416019260883331,0.40748131275177,0.652145504951477,0.1714276820421219
23,0.7782992124557495,0.06723158806562424,0.4382622539997101,1e-05,0.7116850018501282,0.5715001821517944,0.828233003616333,0.058775290846824646,0.40908685326576233,0.7310667634010315,0.37665948271751404
24,0.7908341884613037,0.06889566779136658,0.4417192339897156,1e-05,0.5702909231185913,0.5738270282745361,0.859481930732727,0.06526022404432297,0.4127011299133301,0.49995750188827515,0.36979347467422485
25,0.7827815413475037,0.0686844140291214,0.4340677261352539,1e-05,0.7038195133209229,0.5757050514221191,0.8697019219398499,0.07021453231573105,0.41049546003341675,0.7971946597099304,0.35588276386260986
26,0.7947152256965637,0.0687568262219429,0.4272947609424591,1e-05,0.7435369491577148,0.606128990650177,0.8661180734634399,0.07578685134649277,0.4048745036125183,0.8329391479492188,0.398624062538147
27,0.8023422360420227,0.06911777704954147,0.424344539642334,1e-05,0.7545870542526245,0.6062635779380798,0.85731440782547,0.08384537696838379,0.40297284722328186,0.8562678694725037,0.4172421395778656
28,0.8039961457252502,0.07137482613325119,0.4202895164489746,1e-05,0.778322696685791,0.6310033798217773,0.8438699841499329,0.0756455659866333,0.39898917078971863,0.8071185946464539,0.4750082492828369
29,0.8013081550598145,0.07067292928695679,0.4232264757156372,1e-05,0.7017269730567932,0.57943195104599,0.8264086842536926,0.10911353677511215,0.40494081377983093,0.8498235940933228,0.5761231780052185
